state,year,Bodycam_Policy,total_kills
NE,2022,0.0,4
NE,2023,0.0,5
NE,2024,0.0,5
NH,2013,0.0,3
NH,2014,0.0,1
NH,2015,0.0,4
NH,2016,0.0,2
NH,2017,0.0,3
NH,2018,0.0,2
NH,2019,0.0,2
NH,2020,0.0,4
NH,2021,0.0,2
NH,2022,0.0,3
NH,2023,0.0,4
NH,2024,0.0,6
NJ,2013,0.0,15
NJ,2014,0.0,14
NJ,2015,0.0,18
NJ,2016,0.0,14
NJ,2017,0.0,16
NJ,2018,0.0,14
NJ,2019,0.0,14
NJ,2020,0.0,12
NJ,2021,1.0,15
NJ,2022,1.0,11
NJ,2023,1.0,15
NJ,2024,1.0,11
NM,2013,0.0,18
NM,2014,0.0,18
NM,2015,0.0,20
NM,2016,0.0,22
NM,2017,0.0,22
NM,2018,0.0,21
NM,2019,0.0,21
NM,2020,1.0,22
NM,2021,1.0,28
NM,2022,1.0,32
NM,2023,1.0,24
NM,2024,1.0,19
NV,2013,0.0,12
NV,2014,0.0,22
NV,2015,0.0,20
NV,2016,0.0,14
NV,2017,0.0,17
NV,2018,0.0,23
NV,2019,0.0,13
NV,2020,0.0,26
NV,2021,0.0,15
NV,2022,0.0,18
NV,2023,0.0,22
NV,2024,0.0,12
NY,2013,0.0,25
NY,2014,0.0,19
NY,2015,0.0,23
NY,2016,0.0,22
NY,2017,0.0,18
NY,2018,0.0,19
NY,2019,0.0,28
NY,2020,0.0,29
NY,2021,0.0,29
NY,2022,0.0,28
NY,2023,0.0,34
NY,2024,0.0,23
OH,2013,0.0,29
OH,2014,0.0,29
OH,2015,0.0,32
OH,2016,0.0,27
OH,2017,0.0,34
OH,2018,0.0,34
OH,2019,0.0,24
OH,2020,0.0,23
OH,2021,0.0,30
OH,2022,0.0,42
OH,2023,0.0,34
OH,2024,0.0,33
OK,2013,0.0,19
OK,2014,0.0,28
OK,2015,0.0,37
OK,2016,0.0,31
OK,2017,0.0,30
OK,2018,0.0,34
OK,2019,0.0,38
OK,2020,0.0,31
OK,2021,0.0,20
OK,2022,0.0,32
OK,2023,0.0,28
OK,2024,0.0,13
OR,2013,0.0,12
OR,2014,0.0,16
OR,2015,0.0,16
OR,2016,0.0,16
OR,2017,0.0,12
OR,2018,0.0,19
OR,2019,0.0,20
OR,2020,0.0,16
OR,2021,0.0,17
OR,2022,0.0,23
OR,2023,0.0,21
OR,2024,0.0,11
PA,2013,0.0,37
PA,2014,0.0,15
PA,2015,0.0,21
PA,2016,0.0,24
PA,2017,0.0,26
PA,2018,0.0,31
PA,2019,0.0,16
PA,2020,0.0,22
PA,2021,0.0,26
PA,2022,0.0,26
PA,2023,0.0,34
PA,2024,0.0,24
RI,2013,0.0,1
RI,2014,0.0,1
RI,2016,0.0,2
RI,2017,0.0,1
RI,2018,0.0,1
RI,2021,0.0,2
RI,2022,0.0,1
RI,2023,0.0,2
SC,2013,0.0,15
SC,2014,0.0,18
SC,2015,0.0,20
SC,2016,1.0,18
SC,2017,1.0,12
SC,2018,1.0,14
SC,2019,1.0,20
SC,2020,1.0,15
SC,2021,1.0,22
SC,2022,1.0,26
SC,2023,1.0,21
SC,2024,1.0,19
SD,2013,0.0,2
SD,2014,0.0,3
SD,2015,0.0,3
SD,2016,0.0,6
SD,2017,0.0,3
SD,2018,0.0,4
SD,2019,0.0,4
SD,2020,0.0,2
SD,2021,0.0,4
SD,2022,0.0,7
SD,2023,0.0,3
SD,2024,0.0,1
TN,2013,0.0,21
TN,2014,0.0,22
TN,2015,0.0,23
TN,2016,0.0,25
TN,2017,0.0,29
TN,2018,0.0,27
TN,2019,0.0,33
TN,2020,0.0,29
TN,2021,0.0,41
TN,2022,0.0,35
TN,2023,0.0,43
TN,2024,0.0,25
TX,2013,0.0,101
TX,2014,0.0,102
TX,2015,0.0,113
TX,2016,0.0,92
TX,2017,0.0,79
TX,2018,0.0,112
TX,2019,0.0,113
TX,2020,0.0,94
TX,2021,0.0,109
TX,2022,0.0,132
TX,2023,0.0,141
TX,2024,0.0,121
UT,2013,0.0,7
UT,2014,0.0,18
UT,2015,0.0,11
UT,2016,0.0,9
UT,2017,0.0,6
UT,2018,0.0,19
UT,2019,0.0,12
UT,2020,0.0,17
UT,2021,0.0,14
UT,2022,0.0,14
UT,2023,0.0,20
UT,2024,0.0,15
VA,2013,0.0,18
VA,2014,0.0,11
VA,2015,0.0,20
VA,2016,0.0,18
VA,2017,0.0,26
VA,2018,0.0,18
VA,2019,0.0,11
VA,2020,0.0,16
VA,2021,0.0,22
VA,2022,0.0,30
VA,2023,0.0,28
VA,2024,0.0,21
VT,2013,0.0,1
VT,2014,0.0,1
